,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,mali,12.08,-12.3,31.0,62,75,0.71,GN,1596226094
88,rosa zarate,0.33,-79.47,26.74,80,99,2.47,EC,1596226095
89,salalah,17.02,54.09,29.0,89,75,2.6,OM,1596226095
90,bengkulu,-3.8,102.27,23.14,89,48,3.5,ID,1596226095
91,bolshoy lug,52.08,104.09,17.0,100,75,3.0,RU,1596226095
92,kaniama,-7.57,24.18,22.84,35,3,2.1,CD,1596226095
93,carnarvon,-24.87,113.63,17.0,77,0,6.2,AU,1596226095
94,hermanus,-34.42,19.23,10.0,93,0,0.56,ZA,1596226095
95,ponta do sol,32.67,-17.1,20.0,69,0,0.14,PT,1596226095
96,baytown,29.74,-94.98,35.0,57,13,4.47,US,1596226095
97,tuatapere,-46.13,167.68,9.47,90,100,0.57,NZ,1596225884
98,geraldton,-28.77,114.6,9.0,93,40,3.1,AU,1596226096
99,dingle,11.0,122.67,24.32,91,100,2.26,PH,1596225906
100,port hedland,-20.32,118.57,12.0,40,0,3.1,AU,1596226096
101,chokurdakh,70.63,147.92,8.27,73,100,1.33,RU,1596226096
102,sangar,63.92,127.47,13.49,52,0,1.35,RU,1596226096
103,kudahuvadhoo,2.67,72.89,28.5,77,100,5.95,MV,1596226096
104,saint-philippe,-21.36,55.77,21.0,64,0,1.0,RE,1596226097
105,havoysund,71.0,24.66,11.0,93,75,3.6,NO,1596226097
106,port hardy,50.7,-127.42,18.0,77,75,3.6,CA,1596225632
107,russell,32.35,-85.2,34.0,59,75,4.1,US,1596226097
108,karratha,-20.74,116.85,19.44,33,0,3.52,AU,1596226097
109,surt,31.21,16.59,26.15,81,0,4.44,LY,1596226097
110,puerto ayora,-0.74,-90.35,25.0,65,75,3.6,EC,1596226098
111,verkhnyaya inta,65.98,60.31,14.24,67,100,8.19,RU,1596226098
112,khatanga,71.97,102.5,15.71,57,75,4.82,RU,1596226098
113,san patricio,19.22,-104.7,31.0,74,40,5.1,MX,1596226098
114,torbay,47.67,-52.73,18.33,100,75,2.1,CA,1596226098
115,caravelas,-17.71,-39.25,21.27,86,99,4.03,BR,1596226098
116,wisconsin rapids,44.38,-89.82,25.0,44,90,3.6,US,1596226098
117,cidreira,-30.18,-50.21,15.65,81,44,5.07,BR,1596226099
118,nabire,-3.37,135.48,24.4,88,58,1.56,ID,1596226099
119,paamiut,61.99,-49.67,6.77,94,100,4.01,GL,1596226099
120,portobelo,9.55,-79.65,32.22,62,52,6.71,PA,1596226099
121,bukama,-9.2,25.85,23.7,37,67,2.0,CD,1596226099
122,yellowknife,62.46,-114.35,22.78,52,75,5.1,CA,1596226099
123,asau,46.43,26.4,18.33,85,82,0.44,RO,1596226099
124,rio gallegos,-51.62,-69.22,3.0,86,75,4.1,AR,1596226099
125,hobart,-42.88,147.33,9.44,81,100,3.1,AU,1596225904
126,provideniya,64.38,-173.3,8.8,70,0,2.47,RU,1596226099
127,pevek,69.7,170.31,2.11,95,97,1.55,RU,1596226100
128,mandalgovi,45.76,106.27,14.78,63,6,9.28,MN,1596226100
129,pascagoula,30.37,-88.56,33.33,63,1,4.1,US,1596225842
130,castro,-24.79,-50.01,14.82,77,96,3.17,BR,1596226100
131,thompson,55.74,-97.86,20.0,68,75,5.7,CA,1596225785
132,kavieng,-2.57,150.8,28.22,81,70,6.39,PG,1596226100
133,kuching,1.55,110.33,23.0,94,20,1.0,MY,1596226100
134,atikokan,48.76,-91.62,29.63,27,0,2.63,CA,1596226100
135,vila franca do campo,37.72,-25.43,23.0,64,40,4.6,PT,1596226101
136,airai,-8.93,125.41,10.8,66,76,1.26,TL,1596226101
137,la ronge,55.1,-105.28,25.0,44,40,6.2,CA,1596226101
138,kara-tyube,44.63,45.44,23.84,56,11,4.91,RU,1596226101
139,tazovskiy,67.47,78.7,11.59,99,94,5.45,RU,1596226101
140,kruisfontein,-34.0,24.73,10.56,89,0,2.26,ZA,1596226101
141,high level,58.52,-117.14,23.0,69,20,2.1,CA,1596226087
142,sur,22.57,59.53,29.47,73,58,8.01,OM,1596226101
143,the valley,18.22,-63.06,31.0,66,40,7.7,AI,1596226102
144,anadyr,64.75,177.48,12.0,87,91,2.0,RU,1596226083
145,malanje,-9.54,16.34,20.64,25,1,1.39,AO,1596226102
146,nsoko,-27.03,31.95,13.0,93,0,3.6,SZ,1596226102
147,le pont-de-claix,45.12,5.71,26.11,47,0,1.79,FR,1596226102
148,cairns,-16.92,145.77,21.0,73,90,7.2,AU,1596226102
149,garden city,42.33,-83.33,30.56,37,75,4.1,US,1596226102
150,wanaka,-44.7,169.15,7.22,87,100,0.89,NZ,1596225863
151,kavaratti,10.57,72.64,28.22,78,100,9.84,IN,1596226102
152,limoux,42.92,2.17,28.0,65,2,1.5,FR,1596226103
153,cherskiy,68.75,161.3,6.05,81,100,3.12,RU,1596226103
154,dali,25.7,100.18,17.76,82,98,0.77,CN,1596226103
155,kuchaman,27.15,74.85,29.24,71,53,2.19,IN,1596226103
156,acari,-15.43,-74.62,25.18,35,0,3.52,PE,1596226103
157,le port,-20.94,55.29,21.0,77,7,3.6,RE,1596226103
158,iqaluit,63.75,-68.51,13.0,93,90,2.1,CA,1596226103
159,qaanaaq,77.48,-69.36,5.46,64,0,1.07,GL,1596226103
160,hambantota,6.12,81.12,26.84,80,12,8.54,LK,1596226103
161,freetown,8.48,-13.23,28.0,74,75,3.6,SL,1596226104
162,north bend,43.41,-124.22,25.56,72,1,5.1,US,1596226104
163,isabela,6.71,121.97,25.22,84,100,1.01,PH,1596226104
164,riyadh,24.69,46.72,36.0,23,31,2.35,SA,1596226104
165,yazd,31.9,54.37,31.0,25,40,5.1,IR,1596226104
166,kapaa,22.08,-159.32,27.78,74,90,7.7,US,1596226104
167,novyy urengoy,66.08,76.63,11.43,84,90,3.0,RU,1596226104
